TF1,DF1,TF2,DF2
0,0,0,0
62,39,24,21
2278,807,13,7
179,127,0,0
248,162,3,3
34,29,0,0
4771,2393,2,2
306,201,0,0
319,188,5,4
322,214,3,3
787,561,0,0
881,461,14,10
2110,1005,1,1
5636,2255,17,9
480,296,275,206
734,486,387,292
1383,670,3,3
57,46,1,1
478,198,4641,1682
694,394,51,40
602,415,315,248
1133,653,587,418
929,639,0,0
89,59,1,1
32,27,0,0
832,538,466,350
1596,789,1,1
1690,714,11,9
40,21,9,5
27,21,17,9
259,148,137,89
1538,769,128,102
793,364,42,26
1035,452,83,55
799,349,16,15
3847,1866,2,1
1458,866,1,1
31,19,1,1
89,73,0,0
284,145,0,0
657,422,0,0
75,71,0,0
1043,561,22,19
364,287,5,5
242,140,98,66
35,8,2633,523
45,36,14,13
654,334,325,176
141,85,1,1
116,98,0,0
815,487,71,50
605,394,0,0
97,63,12,12
3419,1445,13,10
1960,1462,12,6
187,116,1,1
2249,1140,5,4
274,182,0,0
476,232,1,1
723,510,0,0
1017,495,29,20
1838,1153,0,0
212,186,0,0
1005,616,551,423
5687,2485,27,18
377,323,0,0
1252,507,30,25
445,227,4,4
275,111,342,131
2106,1160,10,4
2196,901,784,435
59,52,0,0
484,295,1,1
135,81,3,2
646,400,282,219
726,447,0,0
2960,1334,0,0
1720,1089,2,1
297,232,0,0
850,428,10,6
58,46,0,0
1202,646,9,9
6113,2325,12,6
108,67,2,2
91,49,1,1
2576,1439,18,15
888,596,0,0
478,332,3,3
2189,1203,0,0
396,201,147,96
707,418,25,15
474,266,212,138
314,260,5,3
2004,1101,44,37
61,49,1,1
1896,853,626,364
4326,1244,980,501
49,18,0,0
2063,1082,336,251
23,22,18,17
1583,961,0,0
2236,821,234,74
3275,1762,1,1
2185,1026,60,39
207,116,57,39
637,326,453,248
3856,1841,25,17
1018,603,3,1
80,49,16,12
64,39,0,0
375,246,227,126
1553,1135,3,3
263,191,0,0
46,43,0,0
355,275,2,2
828,468,16,3
379,195,250,150
1451,914,1,1
959,847,13,8
215,105,73,46
1321,290,157,120
23,13,8,4
2459,1612,15,10
1236,866,833,611
2024,1117,8,6
